#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2020-08-06-15-46-13
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1470862810.140448	CtlGHL3iMSRBYBjdud	185.35.63.121	46753	10.10.10.10	443	tcp	ssl	0.759277	169	0	SF	-	-	0	ShADafF	5	389	4	164	-
1470863053.583635	CP2F5PC2kjb2QHFe	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004912	200	0	S0	-	-	0	CD	4	312	0	0	-
1470863068.599866	CoDVI22xXZaoi4ogCa	10.10.10.108	138	10.10.10.255	138	udp	-	8.009146	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470863356.980761	CcC8is3OnAPc8ABjm5	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004698	200	0	S0	-	-	0	CD	4	312	0	0	-
1470863371.996715	CoI0DQ3Rlbw15C3ild	10.10.10.108	138	10.10.10.255	138	udp	-	7.008731	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470863469.087982	CIkIxLarmbIj4USul	10.10.10.108	138	10.10.10.255	138	udp	-	0.000117	248	0	S0	-	-	0	CD	1	276	0	0	-
1470863659.281258	CiamV63XUdAvbPGdS8	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004724	200	0	S0	-	-	0	CD	4	312	0	0	-
1470863674.297225	CrSSCE4ueM4e2vHFs9	10.10.10.108	138	10.10.10.255	138	udp	-	8.009616	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470863962.582875	CcyVCd1IqpUOy2CKc6	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004895	200	0	S0	-	-	0	CD	4	312	0	0	-
1470863977.599097	CbngB8XyPjliLsZua	10.10.10.108	138	10.10.10.255	138	udp	-	8.010017	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470864196.923806	CESUdn3Y52VxjauVnj	10.10.10.108	138	10.10.10.255	138	udp	-	0.000084	248	0	S0	-	-	0	CD	1	276	0	0	-
1470864266.994877	CBROsJ31882AsPSZzk	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004869	200	0	S0	-	-	0	CD	4	312	0	0	-
1470864282.011029	CQpAl130NTjchotJo	10.10.10.108	138	10.10.10.255	138	udp	-	8.009427	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470864570.296655	CUAngi2n8d4a4ecBii	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004824	200	0	S0	-	-	0	CD	4	312	0	0	-
1470864575.892073	CvijfikgqrTnWVyh2	10.10.10.108	5353	224.0.0.251	5353	udp	dns	0.000071	45	0	S0	-	-	0	CD	1	73	0	0	-
1470864585.312755	CDw4lX2SOWRYrLiic1	10.10.10.108	138	10.10.10.255	138	udp	-	8.009772	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470864760.999998	CLUo7S1UnYsHXx2cP4	10.10.10.108	43379	210.32.158.231	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864761.000351	CU5MQ71iCCPtBR35Yi	10.10.10.108	54930	208.77.20.11	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
